arm,arm_label,group,question_id,object,object_kind,tour_seen,day,weekday,weekend,hour,hour_bin,truth,truth_room,prediction,prediction_room,error_type,p_truth,p_prediction,n_selected_arms_wrong
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0038,plate_shared_2,shared,True,0,Mon,False,18.00,afternoon 12-18,sink_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0012,0.8544,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0026,plate_shared_2,shared,True,0,Mon,False,19.08,evening 18-24,sink_k1,kitchen,counter_k1,kitchen,"right room, wrong spot",0.0016,0.8615,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0005,glasses_mara,personal,False,0,Mon,False,21.52,evening 18-24,dish_rack_k1,kitchen,towel_rack_ba1,bathroom,wrong room,0.0101,0.3328,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0033,glasses_mara,personal,False,0,Mon,False,22.02,evening 18-24,dish_rack_k1,kitchen,towel_rack_ba1,bathroom,wrong room,0.0090,0.2921,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0058,wallet_mara,personal,False,1,Tue,False,7.05,morning 6-12,OUT_OF_HOUSE,out of house,chair_k1,kitchen,missed away,0.0391,0.6370,9
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0118,keys_mara,personal,False,1,Tue,False,7.23,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.4695,0.4695,10
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0075,backpack_mara,personal,False,1,Tue,False,8.49,morning 6-12,OUT_OF_HOUSE,out of house,sink_k1,kitchen,missed away,0.0023,0.1459,8
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0104,lunchbox_mara,personal,True,1,Tue,False,8.55,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.3404,0.3404,4
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0067,lunchbox_mara,personal,True,1,Tue,False,8.56,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.3365,0.3365,4
active__graph_fixed__graph_anonymized__f0,"graph LLM, fixed set, anonymized",anonymized,q0077,water_bottle_mara,personal,False,1,Tue,False,8.86,morning 6-12,OUT_OF_HOUSE,out of house,ON_PERSON,on person,carried/away swap,0.3036,0.3036,8
