agent,belief,policy,episode_id,household_id,day_index,question_id,object_id,object_class,t_query,answer_receptacle,truth_receptacle,correct,confidence,budget_before,budget_spent,budget_after,forced_answer,belief_accuracy
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0002,water_bottle_1,water_bottle,289414,couch_l1,couch_l1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0020,phone_marisol,phone,290829,counter_k1,ON_PERSON,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0010,water_bottle_1,water_bottle,291726,couch_l1,couch_l1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0001,book_1,book,292929,bed_b1,bed_b1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0022,water_bottle_1,water_bottle,293115,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0014,keys_marisol,keys,293625,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0023,wallet_marisol,wallet,295573,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0012,plate_1,plate,297576,coffee_table_l1,coffee_table_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0017,water_bottle_1,water_bottle,298405,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0016,headphones_1,headphones,300457,counter_k1,counter_k1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0007,water_bottle_1,water_bottle,301204,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0004,water_bottle_1,water_bottle,303998,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0005,water_bottle_1,water_bottle,307373,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0021,water_bottle_1,water_bottle,309994,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0009,mug_2,mug,315624,cupboard_k1,cupboard_k1,True,1.0,2,0,2,False,0.8823529411764706
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0027,mug_2,mug,317072,cupboard_k1,cupboard_k1,True,1.0,2,0,2,False,0.8823529411764706
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0000,book_1,book,318384,bed_b1,bed_b1,True,1.0,2,0,2,False,0.8823529411764706
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0015,water_bottle_1,water_bottle,320225,couch_l1,couch_l1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0003,mug_1,mug,320560,couch_l1,coffee_table_l1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0019,water_bottle_1,water_bottle,320884,couch_l1,couch_l1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0018,plate_1,plate,322554,coffee_table_l1,sink_k1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0011,headphones_1,headphones,323940,counter_k1,counter_k1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0024,mug_2,mug,329806,cupboard_k1,sink_k1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0025,wallet_marisol,wallet,332463,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0008,water_bottle_1,water_bottle,333008,couch_l1,couch_l1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0013,headphones_1,headphones,333832,counter_k1,counter_k1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0026,wallet_marisol,wallet,335364,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0006,headphones_1,headphones,337758,counter_k1,bathroom_shelf_ba1,False,1.0,2,0,2,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0051,mug_1,mug,377377,couch_l1,coffee_table_l1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0041,mug_2,mug,381818,cupboard_k1,cupboard_k1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0050,headphones_1,headphones,383442,counter_k1,couch_l1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0031,mug_1,mug,388499,couch_l1,coffee_table_l1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0038,remote_1,remote,388664,coffee_table_l1,coffee_table_l1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0029,mug_1,mug,391237,couch_l1,coffee_table_l1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0030,mug_1,mug,393300,couch_l1,coffee_table_l1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0037,book_1,book,394015,bed_b1,bed_b1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0047,wallet_marisol,wallet,394696,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0044,wallet_marisol,wallet,397696,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0053,mug_1,mug,405630,couch_l1,sink_k1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0036,plate_1,plate,406157,coffee_table_l1,sink_k1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0048,mug_1,mug,406361,couch_l1,sink_k1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0033,mug_1,mug,406381,couch_l1,sink_k1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0043,bowl_2,bowl,407047,cupboard_k1,couch_l1,False,1.0,2,0,2,False,0.5882352941176471
