agent,belief,policy,episode_id,household_id,day_index,question_id,object_id,object_class,t_query,answer_receptacle,truth_receptacle,correct,confidence,budget_before,budget_spent,budget_after,forced_answer,belief_accuracy
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0010,water_bottle_1,water_bottle,260540,counter_k1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0088,mug_1,mug,260768,sink_k1,sink_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0089,keys_marisol,keys,261751,entry_table_e1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0062,charger_1,charger,262060,counter_k1,counter_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0004,bowl_2,bowl,262397,sink_k1,sink_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0061,book_1,book,263409,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0023,phone_marisol,phone,263716,ON_PERSON,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0047,remote_1,remote,264586,coffee_table_l1,couch_l1,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0003,book_1,book,265141,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0002,bowl_1,bowl,265841,entry_table_e1,entry_table_e1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0024,wallet_marisol,wallet,265891,entry_table_e1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0052,water_bottle_1,water_bottle,266851,counter_k1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0083,blanket_1,blanket,268264,bed_b1,bed_b1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0080,water_bottle_1,water_bottle,269959,counter_k1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0012,keys_marisol,keys,270858,entry_table_e1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0018,remote_1,remote,271741,coffee_table_l1,couch_l1,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0049,charger_1,charger,271847,counter_k1,counter_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0058,medication_bottle_1,medication_bottle,272034,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0053,jacket_marisol,jacket,272621,entry_hook_e1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0036,headphones_1,headphones,272970,counter_k1,counter_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0009,charger_1,charger,273197,counter_k1,counter_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0073,plate_1,plate,273651,coffee_table_l1,coffee_table_l1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0085,remote_1,remote,273972,coffee_table_l1,couch_l1,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0071,charger_1,charger,274310,counter_k1,counter_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0060,remote_1,remote,274725,coffee_table_l1,couch_l1,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0077,mug_2,mug,275068,cupboard_k1,cupboard_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0059,bowl_1,bowl,277457,entry_table_e1,entry_table_e1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0057,umbrella_1,umbrella,277524,entry_floor_e1,entry_floor_e1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0055,wallet_marisol,wallet,279573,entry_table_e1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0001,wallet_marisol,wallet,279801,entry_table_e1,OUT_OF_HOUSE,False,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0037,book_1,book,282844,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0050,bowl_2,bowl,284892,sink_k1,sink_k1,True,1.0,24,0,24,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0029,headphones_1,headphones,285354,counter_k1,counter_k1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0074,book_1,book,285529,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0051,blanket_1,blanket,285773,bed_b1,bed_b1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0056,plate_1,plate,286033,coffee_table_l1,coffee_table_l1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0025,jacket_marisol,jacket,286388,entry_hook_e1,chair_k1,False,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0000,medication_bottle_1,medication_bottle,286824,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0078,keys_marisol,keys,288475,entry_table_e1,entry_table_e1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0084,bowl_1,bowl,288542,entry_table_e1,entry_table_e1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0032,bowl_2,bowl,288701,sink_k1,sink_k1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0070,wallet_marisol,wallet,291317,entry_table_e1,entry_table_e1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0072,umbrella_1,umbrella,292448,entry_floor_e1,entry_floor_e1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0067,mug_1,mug,292522,sink_k1,couch_l1,False,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0048,water_bottle_1,water_bottle,312771,counter_k1,couch_l1,False,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0028,blanket_1,blanket,312795,bed_b1,bed_b1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0066,phone_marisol,phone,314159,ON_PERSON,ON_PERSON,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0063,mug_2,mug,314558,cupboard_k1,cupboard_k1,True,1.0,24,0,24,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0035,mug_1,mug,315234,sink_k1,sink_k1,True,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0054,bowl_2,bowl,315242,sink_k1,couch_l1,False,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0041,bowl_1,bowl,315300,entry_table_e1,entry_table_e1,True,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0026,plate_1,plate,315497,coffee_table_l1,sink_k1,False,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0040,umbrella_1,umbrella,315746,entry_floor_e1,entry_floor_e1,True,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0027,umbrella_1,umbrella,316132,entry_floor_e1,entry_floor_e1,True,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0068,medication_bottle_1,medication_bottle,317248,nightstand_b1,nightstand_b1,True,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0014,plate_1,plate,318505,coffee_table_l1,sink_k1,False,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0069,jacket_marisol,jacket,319453,entry_hook_e1,chair_k1,False,1.0,24,0,24,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_timeline_seed0,hh_001,3,q0022,charger_1,charger,319508,counter_k1,counter_k1,True,1.0,24,0,24,False,0.8235294117647058
