version,activity,measure,casas_labels,atus_codes,atus_home_only,start_rule,merge_gap_min,status,confidence,rationale
4,wake,event,Sleeping|Sleep|R1_Sleep|R2_Sleep|R1_Sleeping_in_Bed|R2_Sleeping_in_Bed,0101,0,first,60,include,high,"Wake instant = END of the first sleep episode of the 04:00 window, derived from the SLEEP episodes in every source so there is exactly one derivation: an ATUS diary opens at 04:00 mid-sleep and its first record ends at waking, and CASAS labels the same episode. cairo's explicit R1_Wake/R2_Wake labels are deliberately NOT used (see wake_labels row) — mixing two derivations of one quantity across testbeds would confound testbed with method. MERGE 60 min: ambient sensors fragment one night's sleep into several episodes (a bathroom trip splits it), whereas ATUS self-report records the night as a single episode. Without merging, CASAS 'wake' catches a 01:30 interruption and CASAS 'bedtime' catches a 03:00 re-settle — measured within-person SDs of 5.2 h and 2.8 h, which are artefacts of labelling granularity, not behaviour."
4,sleep,episode,Sleeping|Sleep|R1_Sleep|R2_Sleep|R1_Sleeping_in_Bed|R2_Sleeping_in_Bed,0101,0,spans_end,60,include,high,"Bedtime = onset of the sleep episode still running at the window END (04:00 next day), the mirror of how waking is the end of the episode already running at the window start; with the 04:00 anchor a 01:30 bedtime is 1290 min, so the series is monotone and needs no circular statistics. duration_min is total sleep in the window. CASAS 'Night_Wandering' deliberately NOT folded in here (see bed_toilet). MERGE 60 min: ambient sensors fragment one night's sleep into several episodes (a bathroom trip splits it), whereas ATUS self-report records the night as a single episode. Without merging, CASAS 'wake' catches a 01:30 interruption and CASAS 'bedtime' catches a 03:00 re-settle — measured within-person SDs of 5.2 h and 2.8 h, which are artefacts of labelling granularity, not behaviour."
4,meal_prep,episode,Meal_Preparation|Kitchen_Activity,020201|020202,0,first,0,include,medium,"ATUS 0202 spans prep, presentation AND clean-up; only the prep/presentation codes are mapped here so that CASAS 'Wash_Dishes' can map to the clean-up code separately and the two vocabularies partition the same minutes. milan's 'Kitchen_Activity' is a superset (it also covers eating and cleanup in that testbed's labelling) — the single largest known crosswalk ambiguity, hence confidence=medium."
4,eating,episode,Eating|Breakfast|Lunch|Dinner,1101,0,first,0,include,high,"CASAS cairo labels meals by name (Breakfast/Lunch/Dinner) where aruba/tulum2 use a generic 'Eating'; both mean the eating episode itself, mapping to ATUS 1101. milan's 'Dining_Rm_Activity' is excluded as room-presence, not eating."
4,dishes,episode,Wash_Dishes,020203,0,first,0,include,high,"ATUS 020203 is 'kitchen and food clean-up', the exact complement of the prep codes above. Present in only 2 of 4 testbeds (aruba, tulum2), so the within-person estimate rests on those."
4,housekeeping,episode,Housekeeping|Chores|Laundry,020101|020102,0,first,0,include,medium,"ATUS 0201 housework = interior cleaning (020101) + laundry (020102), which together cover CASAS 'Housekeeping'/'Chores'/'Laundry'. Low episode counts in CASAS (33/23/10), so the within-person variance is thin — treat the CI, not the point estimate, as the result."
4,leisure,episode,Watch_TV|Read|Relax,120303|120312|120301,0,none,0,include,medium,"Screen/reading/relaxing leisure. start_rule=none BECAUSE aruba's 'Relax' fires ~13x/day: the first occurrence is dominated by wake time rather than by any leisure decision, so a start-time variance would measure the wrong thing (decision 2 in schema.py). Duration and count only."
4,work_home,episode,Work|R1_Work|Work_Bedroom_1|Work_Bedroom_2|Work_LivingRm|Work_Table|Desk_Activity,050101|050102,1,first,0,include,medium,"CASAS can only observe work done AT HOME, so the ATUS side is filtered to WHERE=respondent's home (atus_home_only=1). Without that filter the ATUS distribution is dominated by commuters and the comparison is meaningless. milan's 'Desk_Activity' may include non-work computer use."
4,leave_home,event,Leave_Home,,0,first,0,include,high,"Departure instant: first minute of the first away-from-home spell. The ATUS side is derived from LOCATION (first non-home, non-NIU record), not from an activity code, hence the empty atus_codes — the loader special-cases it. Zero duration by construction."
4,hygiene,episode,Personal_Hygiene|Bathing|Master_Bathroom|Guest_Bathroom,010201,0,none,0,include,medium,Washing/dressing/grooming. start_rule=none: multi-occurrence (tulum2 logs 1311 hygiene episodes over 147 days). milan's bathroom labels are room-presence and will include non-hygiene visits.
4,bed_toilet,episode,Bed_to_Toilet|Bed_Toilet_Transition|Night_Wandering,,0,none,0,exclude,high,"EXCLUDED: nocturnal bathroom trips are reliably sensed by CASAS but systematically under-reported in ATUS self-report (respondents do not recall brief night waking), so the two sources do not measure the same quantity. Including it would produce a spuriously low ICC driven by measurement asymmetry, not behaviour."
4,meds,episode,Morning_Meds|Eve_Meds|R2_Take_Medicine,010301,0,first,0,exclude,low,"EXCLUDED: present in only 2 testbeds with 19-44 episodes each, and ATUS 010301 ('health-related self care') is far broader than taking a pill. Too little CASAS support and too loose an ATUS mapping to estimate a defensible variance."
4,idiosyncratic,episode,Respirate|Meditate|Yoga|Master_Bedroom_Activity|Dining_Rm_Activity,,0,none,0,exclude,high,EXCLUDED: single-testbed labels with tiny counts (6-24 episodes) or pure room-presence labels with no activity semantics. No ATUS counterpart worth asserting.
4,wake_labels,event,R1_Wake|R2_Wake,,0,first,0,exclude,high,"EXCLUDED: cairo's explicit wake labels mark the morning waking PERIOD, whereas every other testbed yields the wake instant as the end of the first sleep episode. Using both derivations would make the 'wake' variance partly a variance of labelling method across testbeds. cairo still contributes wake via its R1_Sleep/R2_Sleep episodes."
