hh_s1: 36 receptacles, k=10, alpha=0.1
  d01 razor_felix      truth=bathroom_shelf_ba1   greedy=medicine_cabinet_ba1 agree=1.00 distinct= 1 lac=1 aps=1
  d01 water_bottle_felix truth=kitchen_table_k1     greedy=dish_rack_k1         agree=1.00 distinct= 1 lac=1 aps=1
  d01 glass_felix      truth=kitchen_table_k1     greedy=sink_k1              agree=0.80 distinct= 3 lac=3 aps=3
  d01 water_bottle_felix truth=kitchen_table_k1     greedy=kitchen_table_k1     agree=1.00 distinct= 1 lac=1 aps=1
  d01 glass_felix      truth=kitchen_table_k1     greedy=kitchen_table_k1     agree=1.00 distinct= 1 lac=1 aps=1
  d05 water_bottle_felix truth=kitchen_table_k1     greedy=dish_rack_k1         agree=0.30 distinct= 2 lac=2 aps=1
  d08 glass_felix      truth=coffee_table_l1      greedy=coffee_table_l1      agree=1.00 distinct= 1 lac=1 aps=1
  d13 tablet_felix     truth=kitchen_table_k1     greedy=kitchen_table_k1     agree=0.40 distinct= 2 lac=2 aps=1
  d15 glass_felix      truth=kitchen_table_k1     greedy=sink_k1              agree=0.00 distinct= 1 lac=1 aps=1
  d18 water_bottle_felix truth=coffee_table_l1      greedy=coffee_table_l1      agree=0.30 distinct= 3 lac=3 aps=2
  d20 glass_felix      truth=kitchen_table_k1     greedy=kitchen_table_k1     agree=1.00 distinct= 1 lac=1 aps=0
  d23 tablet_felix     truth=coffee_table_l1      greedy=coffee_table_l1      agree=1.00 distinct= 1 lac=1 aps=0
  d27 tablet_felix     truth=kitchen_table_k1     greedy=bedroom_floor_b1     agree=1.00 distinct= 1 lac=1 aps=0
  d29 tablet_felix     truth=bed_b1               greedy=bed_b1               agree=1.00 distinct= 1 lac=1 aps=0
