candidate_id,scene,occupant,activity,time_window,object_category,target_relationship,target_anchor,room,reason,assumed_from,judge_score,machine_band,machine_band_label,flag,band,notes
c000,102343992,Emily,breakfast,8.5-9.0h,laptop,on_top,kitchen.table_1,kitchen,Emily might place her laptop on the table to work or browse during breakfast.,bedroom_1.bedside_table_1,0.60,2,plausible-uncommon,obvious-negative: electronics on the eating surface during a meal,2,
c001,102343992,Emily,snacking,22.0-22.2h,phone,on_top,kitchen.table_1,kitchen,A phone is likely to be placed on the kitchen table for use while snacking.,pocket,0.80,3,typical,obvious-negative: electronics on the eating surface during a meal,3,
c002,102343992,Emily,breakfast,8.5-9.0h,phone,on_top,kitchen.table_1,kitchen,Emily may place her phone on the table to check messages or the time during breakfast.,bedroom_1.bedside_table_1,0.70,2,plausible-uncommon,obvious-negative: electronics on the eating surface during a meal,3,as a teen Emily uses her phone more,
c003,102343992,Emily,snacking,22.0-22.2h,bottle,on_top,kitchen.table_1,kitchen,"A bottle (e.g., a drink) is often placed on the kitchen table for convenience while snacking.",fridge,0.85,3,typical,obvious-positive,2,
c004,102343992,Emily,snacking,22.0-22.2h,bowl,on_top,kitchen.table_1,kitchen,A bowl is a common snack container and is likely placed on the kitchen table for easy access.,storage_cabinet,0.95,3,typical,obvious-positive,3,
c005,102343992,Emily,breakfast,8.5-9.0h,bottle,on_top,kitchen.table_1,kitchen,Emily might place a bottle of juice or water on the table for breakfast.,kitchen.fridge_1,0.90,3,typical,obvious-positive,2,
c006,102343992,Emily,snack,10.5-10.8h,bottle,on_top,kitchen.table_1,kitchen,Emily might place a bottle on the table to have a drink with her snack.,fridge,0.80,3,typical,obvious-positive,2,
c007,102343992,Jane,eating_dinner,18.5-19.0h,bottle,in_region,kitchen,dining_room,Jane could move a bottle to the kitchen for cleaning or storage post-dinner.,dining_room,0.90,3,typical,,3,
c008,102343992,Emily,reorganizing bedroom,10.8-12.5h,bowl,on_top,bedroom_1.bed_1,bedroom,Bowls can be placed on the bed to hold small items being sorted during reorganization.,bedroom_1.wardrobe_1,0.50,2,plausible-uncommon,,1,bowls are not used for organizing,
c009,102343992,Jane,eating_dinner,18.5-19.0h,tv,in_region,kitchen,dining_room,Jane might move the TV to the kitchen for use while cooking or cleaning after dinner.,living_room,0.20,1,contrived,,1,tv is not easily moved,
c010,102343992,John,reading,20.0-21.0h,potted_plant,in_region,outdoor,office,John might move a potted plant to the outdoor area for fresh air and a pleasant reading environment.,kitchen,0.05,0,absurd,,0,
c011,102343992,Jane,eating_dinner,18.5-19.0h,bowl,in_region,kitchen,dining_room,Jane might need to move a bowl to the kitchen to prepare or clean up after dinner.,dining_room,0.85,3,typical,,3,
c012,102343992,Emily,reorganizing bedroom,10.8-12.5h,phone,on_top,bedroom_1.bed_1,bedroom,The phone may be placed on the bed for convenient access while reorganizing.,bedroom_1.wardrobe_1,0.70,2,plausible-uncommon,,2,
c013,102343992,John,preparing_for_bed,21.0-22.0h,laptop,in_region,bedroom,bedroom,Putting laptop away in the bedroom as part of bedtime routine.,bed,0.30,1,contrived,,2,
c014,102343992,Jane,organizing_recipes,21.0-21.5h,vase,in_region,kitchen,kitchen,Vases are organized and stored in the kitchen to keep them accessible for recipe use.,bedroom,0.10,0,absurd,,0,
c015,102343992,John,morning jog,8.0-8.8h,keys,near,outdoor.stand_1,outdoor,keys are typically placed near a door or stand before leaving the house for a jog,outdoor.pocket_1,0.90,3,typical,,3,
c016,102343992,Emily,watching TV,18.8-20.0h,wallet,on,tv.couch_1,living_room,She may place her wallet on the couch for easy access while watching TV.,pocket,0.50,2,plausible-uncommon,,2,
