agent,belief,policy,episode_id,household_id,day_index,question_id,object_id,object_class,t_query,answer_receptacle,truth_receptacle,correct,confidence,budget_before,budget_spent,budget_after,forced_answer,belief_accuracy
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0012,mug_1,mug,288635,cupboard_k1,couch_l1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0007,jacket_marisol,jacket,289189,chair_k1,chair_k1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0022,mug_1,mug,293746,cupboard_k1,couch_l1,False,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0002,medication_bottle_1,medication_bottle,296281,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0016,medication_bottle_1,medication_bottle,296785,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0004,keys_marisol,keys,297635,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0000,jacket_marisol,jacket,298521,chair_k1,chair_k1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0024,charger_1,charger,298712,counter_k1,counter_k1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0005,wallet_marisol,wallet,300852,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0019,plate_1,plate,302358,coffee_table_l1,coffee_table_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0008,headphones_1,headphones,306303,counter_k1,counter_k1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0017,bowl_1,bowl,308101,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0001,water_bottle_1,water_bottle,308951,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0014,blanket_1,blanket,310682,couch_l1,couch_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0015,wallet_marisol,wallet,310952,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0021,phone_marisol,phone,311673,counter_k1,counter_k1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0009,plate_1,plate,311866,coffee_table_l1,coffee_table_l1,True,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0020,mug_1,mug,313292,cupboard_k1,couch_l1,False,1.0,2,0,2,False,0.8235294117647058
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0018,bowl_2,bowl,315499,cupboard_k1,sink_k1,False,1.0,2,0,2,False,0.8823529411764706
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0006,keys_marisol,keys,322736,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0010,umbrella_1,umbrella,323405,entry_floor_e1,entry_floor_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0013,remote_1,remote,323754,coffee_table_l1,couch_l1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0011,charger_1,charger,323851,counter_k1,counter_k1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0026,blanket_1,blanket,326220,couch_l1,couch_l1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0003,jacket_marisol,jacket,328804,chair_k1,chair_k1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0027,jacket_marisol,jacket,329728,chair_k1,chair_k1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0025,medication_bottle_1,medication_bottle,333898,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,3,q0023,plate_1,plate,337196,coffee_table_l1,sink_k1,False,1.0,2,0,2,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0031,wallet_marisol,wallet,375647,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0033,umbrella_1,umbrella,376421,entry_floor_e1,entry_floor_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0054,bowl_1,bowl,378179,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0047,keys_marisol,keys,383345,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0055,umbrella_1,umbrella,384234,entry_floor_e1,entry_floor_e1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0037,medication_bottle_1,medication_bottle,384788,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0038,keys_marisol,keys,390392,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0032,jacket_marisol,jacket,391521,chair_k1,chair_k1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0041,blanket_1,blanket,391879,couch_l1,couch_l1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0048,jacket_marisol,jacket,395261,chair_k1,chair_k1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0035,water_bottle_1,water_bottle,396641,couch_l1,bathroom_shelf_ba1,False,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0034,phone_marisol,phone,397597,counter_k1,counter_k1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0046,phone_marisol,phone,401496,counter_k1,counter_k1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0052,remote_1,remote,404353,coffee_table_l1,coffee_table_l1,True,1.0,2,0,2,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0050,mug_1,mug,405435,couch_l1,sink_k1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0030,medication_bottle_1,medication_bottle,405662,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0053,blanket_1,blanket,405725,couch_l1,couch_l1,True,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0029,plate_1,plate,408995,coffee_table_l1,sink_k1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0039,remote_1,remote,409683,coffee_table_l1,coffee_table_l1,True,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0040,blanket_1,blanket,411731,couch_l1,couch_l1,True,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0044,phone_marisol,phone,412507,counter_k1,ON_PERSON,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0028,headphones_1,headphones,413440,counter_k1,couch_l1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0051,medication_bottle_1,medication_bottle,416840,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0042,headphones_1,headphones,418153,counter_k1,couch_l1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0036,book_1,book,418971,bed_b1,nightstand_b1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0043,mug_1,mug,419439,couch_l1,sink_k1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0049,medication_bottle_1,medication_bottle,423447,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,4,q0045,headphones_1,headphones,424778,counter_k1,bathroom_shelf_ba1,False,1.0,2,0,2,False,0.5294117647058824
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0079,jacket_marisol,jacket,462423,chair_k1,chair_k1,True,1.0,2,0,2,False,0.47058823529411764
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0072,bowl_1,bowl,463527,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.47058823529411764
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0065,bowl_1,bowl,465808,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0083,bowl_1,bowl,468618,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0074,book_1,book,469418,bed_b1,bed_b1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0078,headphones_1,headphones,470968,counter_k1,couch_l1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0082,medication_bottle_1,medication_bottle,472148,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0071,jacket_marisol,jacket,473456,chair_k1,chair_k1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0062,medication_bottle_1,medication_bottle,473703,nightstand_b1,nightstand_b1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0064,book_1,book,477917,bed_b1,bed_b1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0060,bowl_1,bowl,481647,entry_table_e1,entry_table_e1,True,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0068,remote_1,remote,483923,coffee_table_l1,couch_l1,False,1.0,2,0,2,False,0.5882352941176471
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0,hh_001,5,q0056,phone_marisol,phone,484169,counter_k1,counter_k1,True,1.0,2,0,2,False,0.5882352941176471
